Season,Champion,Runners
1993,Manchester United,Aston Villa
1994,Manchester United,Blackburn Rovers
1995,Blackburn Rovers,Manchester United
1996,Manchester United,Newcastle United
1997,Manchester United,Newcastle United
1998,Arsenal,Manchester United
1999,Manchester United,Arsenal
2000,Manchester United,Arsenal
2001,Manchester United,Arsenal
2002,Arsenal,Liverpool
2003,Manchester United,Arsenal
2004,Arsenal,Chelsea
2005,Chelsea,Arsenal
2006,Chelsea,Manchester United
2007,Manchester United,Chelsea
2008,Manchester United,Chelsea
2009,Manchester United,Liverpool
2010,Chelsea,Manchester United
2011,Manchester United,Chelsea
2012,Manchester City,Manchester United
2013,Manchester United,Manchester City
2014,Manchester City,Liverpool
2015,Chelsea,Manchester City
2016,Leicester City,Arsenal
2017,Chelsea,Tottenham Hotspur
2018,Manchester City,Manchester United
2019,Manchester City,Liverpool
2020,Liverpool,Manchester City
2021,Manchester City,Manchester United
2022,Manchester City,Liverpool
2023,Manchester City,Arsenal
2024,Manchester City,Arsenal
