Season_End_Year,Total_Matches,Total_HomeGoals,Total_AwayGoals,Home_Wins,Away_Wins,Draws,Total_Goals,Champion,Runners
1993,462,723,499,214,118,130,1222,Manchester United,Aston Villa
1994,462,663,532,192,128,142,1195,Manchester United,Blackburn Rovers
1995,462,697,498,205,123,134,1195,Blackburn Rovers,Manchester United
1996,380,580,408,186,96,98,988,Manchester United,Newcastle United
1997,380,559,411,162,99,119,970,Manchester United,Newcastle United
1998,380,592,427,184,101,95,1019,Arsenal,Manchester United
1999,380,553,406,169,96,115,959,Manchester United,Arsenal
2000,380,635,425,187,101,92,1060,Manchester United,Arsenal
2001,380,587,405,184,95,101,992,Manchester United,Arsenal
2002,380,557,444,165,114,101,1001,Arsenal,Liverpool
2003,380,570,430,187,103,90,1000,Manchester United,Arsenal
2004,380,572,440,167,105,108,1012,Arsenal,Chelsea
2005,380,570,405,173,97,110,975,Chelsea,Arsenal
2006,380,555,389,192,111,77,944,Chelsea,Manchester United
2007,380,552,379,182,100,98,931,Manchester United,Chelsea
2008,380,581,421,176,104,100,1002,Manchester United,Chelsea
2009,380,532,410,173,110,97,942,Manchester United,Liverpool
2010,380,645,408,193,91,96,1053,Chelsea,Manchester United
2011,380,617,446,179,90,111,1063,Manchester United,Chelsea
2012,380,604,462,171,116,93,1066,Manchester City,Manchester United
2013,380,592,471,166,106,108,1063,Manchester United,Manchester City
2014,380,598,454,179,123,78,1052,Manchester City,Liverpool
2015,380,560,415,172,115,93,975,Chelsea,Manchester City
2016,380,567,459,157,116,107,1026,Leicester City,Arsenal
2017,380,607,457,187,109,84,1064,Chelsea,Tottenham Hotspur
2018,380,582,436,173,108,99,1018,Manchester City,Manchester United
2019,380,596,476,181,128,71,1072,Manchester City,Liverpool
2020,380,576,458,172,116,92,1034,Liverpool,Manchester City
2021,380,514,510,144,153,83,1024,Manchester City,Manchester United
2022,380,575,496,163,129,88,1071,Manchester City,Liverpool
2023,380,621,463,184,109,87,1084,Manchester City,Arsenal
